seller-sku	asin1	price	quantity
DCG-2408252	B07M6LWBLC	188.61	30
DCG-2408254	B07MCGRC53	55.17	30
DCG-2408256	B07MG11K5G	41.86	30
DCG-2408259	B07MJQP2C7	41.77	30
DCG-2408266	B07N1798HQ	77.75	17
DCG-2408270	B07NV6W81S	31.01	30
DCG-240828	B00TYUNCLG	56.73	30
DCG-240836	B00YRBPNBY	50.84	30
DCG-240842	B013KZDVRA	91.79	30
DCG-240848	B017H5PZCS	80.25	30
DCG-240871	B01F88DFDW	48.22	30
DCG-240878	B01IAEIZVS	66.37	30
DCG-24088	B004E6V66I	52.09	20
DCG-240881	B01J6DKAG0	37.45	30
DCG-240891	B01M0NB80D	30.72	27
DCG010120-11	B005WKIZ4Q	23.21	17
DCG010120-2101	B071VYGNPP	34.14	30
DCG010120-2102	B071WTGC8T	144.11	30
DCG010120-2104	B072F7YH6X	36.73	30
DCG010120-2105	B072JZH9BP	28.79	26
DCG010120-2107	B073KZTW4L	74.29	30
DCG010120-2108	B073P9B5RL	56.11	30
DCG010120-2110	B0746DXLV7	97.47	30
DCG010120-2114	B0752DVCSX	30.4	30
DCG010120-2118	B075L6K17D	67.84	30
DCG010120-212	B007BV13ES	42.38	30
DCG010120-2120	B075R5CRK6	26.76	30
DCG010120-2123	B0771X7SGD	43.19	30
DCG010120-2124	B0779HV8G7	42.51	15
DCG010120-2128	B078SQ1HHR	61.52	18
DCG010120-2132	B079GTNP32	31.46	30
DCG010120-2133	B079JS833G	20.84	30
DCG010120-2134	B07B49SC18	26.81	30
DCG010120-2135	B07BQYRMR6	26.76	30
DCG010120-2136	B07CTYNMPV	28.41	29
DCG010120-2138	B07D3GWCJ7	42.33	30
DCG010120-214	B0086AWC7U	27.6	30
DCG010120-2140	B07DVJVDKP	27.17	30
DCG010120-2141	B07F1MV96K	50.44	29
DCG010120-2144	B07FNH2LBT	30.43	30
DCG010120-2146	B07FYYL7LR	31.39	30
DCG010120-2147	B07G45TF24	25.79	30
DCG010120-2150	B07G9ZFDW2	34.33	30
DCG010120-2152	B07GDJKHGZ	28.4	30
DCG010120-2153	B07GJH2CB9	40.44	20
DCG010120-2155	B07GNGR1L2	36.9	30
DCG010120-2157	B07GTHKB3F	24.71	30
DCG010120-2158	B07GTR5QR5	30.46	30
DCG010120-2159	B07GV9VGLD	118.7	30
DCG010120-2160	B07GVL3X5B	30.84	30
DCG010120-2161	B07GXFKFDD	84.34	30
DCG010120-2163	B07H6Z3TKT	25.19	30
DCG010120-2164	B07H8ZFV3G	27.82	30
DCG010120-2166	B07HQ5NXC9	28.85	30
DCG010120-2167	B07J59MXNR	80.13	30
DCG010120-2168	B07J6R9BVB	36.2	30
DCG010120-2169	B07JGLSDKY	39.04	30
DCG010120-217	B00B9QS84O	41.46	30
DCG010120-2170	B07JN7HZ2X	32.08	30
DCG010120-2173	B07JVV6V7D	36.41	30
DCG010120-2177	B07KDW3DWX	34.27	30
DCG010120-2178	B07KGP9G6N	39.86	30
DCG010120-2179	B07KS1GLKL	26.89	30
DCG010120-2180	B07KX17G39	37.22	21
DCG010120-2181	B07L3SQ3WR	33.98	30
DCG010120-2182	B07L4BHM6V	37.92	14
DCG010120-2183	B07L4L2FK7	31.71	30
DCG010120-2185	B07L7G1SWS	24.01	30
DCG010120-2187	B07LGMLSX7	60.55	30
DCG010120-2188	B07M8TZZJM	36.56	30
DCG010120-2189	B07MCNRXJQ	26.48	30
DCG010120-2190	B07MFNNS42	26.51	30
DCG010120-2191	B07MH9HM8Y	43.23	30
DCG010120-2195	B07MP9S4TJ	28.55	30
DCG010120-2196	B07MPNBCMH	32.87	30
DCG010120-2199	B07MV4NW54	25.28	30
DCG010120-2202	B07NB2XW1L	30.3	30
DCG010120-2204	B07P2K7HQD	36.02	30
DCG010120-223	B00GBN0CBM	32.29	30
DCG010120-224	B00H2ZSX1O	41.71	21
DCG010120-225	B00JQM5J3Q	28.49	30
DCG010120-226	B00JVZHVK2	67.75	30
DCG010120-235	B00SYRUG8C	53.94	30
DCG010120-236	B00T2PAKU4	80.27	17
DCG010120-238	B00VIULUFK	22.64	30
DCG010120-239	B00VLSICKK	34.52	30
DCG010120-242	B00XUYFU0S	50.12	30
DCG010120-245	B010KJSRYG	77.89	30
DCG010120-247	B0142BIJTG	32.24	23
DCG010120-249	B014EXY8I8	37.92	30
DCG010120-255	B017CHU4MM	37.79	26
DCG010120-256	B017ETK5Z4	23.9	30
DCG010120-257	B017SC0IJA	29.51	21
DCG010120-260	B0198ABESO	32.78	28
DCG010120-261	B01AVXE402	25.46	30
DCG010120-262	B01BUAINA2	34.94	30
DCG010120-264	B01D9IRJJ4	36.27	11
DCG010120-265	B01E2TNMUE	51.64	30
DCG010120-268	B01FSC4NY8	25.7	30
DCG010120-270	B01HBFGS4I	28.58	30
DCG010120-271	B01HNWX5KE	40.2	30
DCG010120-274	B01IK25YXC	26.61	30
DCG010120-277	B01L3HPQ20	30.29	30
DCG010120-279	B01LX8VNLQ	27.31	30
DCG010120-280	B01M3UNJPN	237.52	24
DCG010120-281	B01MA5HF9W	58.09	30
DCG010120-285	B06X6BCY7K	24.76	30
DCG010120-286	B06XC1831M	38	30
DCG010120-287	B06XFRBG57	27.82	30
DCG010120-291	B06Y2WK1NH	34.6	30
DCG010120-292	B06Y3TBGF9	45.74	30
DCG010120-294	B0719NCPHB	25.74	16
DCG010120-295	B0719PBC44	32.44	30
DCG010120-297	B071FQTQ6F	97.65	19
DCG010120-31	B0001M1IA8	58.66	19
DCG010120-311	B00K73EWTK	31.15	30
DCG010120-314	B00P2NEY84	29.54	30
DCG010120-315	B00PPI77US	77.99	30
DCG010120-317	B00QZX9M5A	35.99	30
DCG010120-318	B00SA7NVPG	42.45	30
DCG010120-322	B00WTD7WYS	68.72	30
DCG010120-324	B00YWFTBQ8	35.98	30
DCG010120-327	B012YXJWJA	96.31	30
DCG010120-33	B000V58Z10	42.15	25
DCG010120-330	B01I24KTBK	66.23	30
DCG010120-331	B01IS09R7K	39.95	30
DCG010120-333	B01JRCJ5PW	40.65	20
DCG010120-334	B01K6GNV5S	152.89	30
DCG010120-339	B01MTQRN5T	31.34	30
DCG010120-34	B0013J99FO	79.97	16
DCG010120-344	B06XWF9HML	30.4	30
DCG010120-345	B06XXYS2XD	42.56	30
DCG010120-346	B06Y2LHZVD	49.17	30
DCG010120-347	B06Y44NWXZ	37.85	30
DCG010120-35	B002CE3518	52.07	30
DCG010120-352	B073FF5HSV	89.04	30
DCG010120-353	B074L1799W	34.53	30
DCG010120-357	B077VQSHM6	37.4	30
DCG010120-359	B078W7JX65	57.15	30
DCG010120-36	B0041MJMGQ	32.64	30
DCG010120-360	B0791GD55K	87.98	25
DCG010120-361	B0797G55J1	69.19	30
DCG010120-362	B079SQSRHT	155.32	30
DCG010120-364	B07C2QNK49	27.74	30
DCG010120-367	B07CHR14RX	100.8	30
DCG010120-368	B07CW5RXT5	68.65	30
DCG010120-369	B07CWNNLZK	77.48	30
DCG010120-370	B07D2VKF4R	41.75	30
DCG010120-373	B07FSFZFHY	64.69	22
DCG010120-374	B07FZCSSC9	62.2	14
DCG010120-376	B07H6P5TYQ	36.51	30
DCG010120-378	B07HNZ44YD	29.74	30
DCG010120-381	B07JZ5T4JT	89.92	30
DCG010120-382	B07K25GR6K	51.71	30
DCG010120-383	B07KFPV6XG	58.04	30
DCG010120-386	B07KW6M2P6	20.6	30
DCG010120-387	B07L31DFF8	40.43	30
DCG010120-389	B07LFLCKW9	110.01	30
DCG010120-390	B07M5HJ12M	26.51	30
DCG010120-392	B07MW83FXZ	31.64	30
DCG010120-393	B07N8648R4	26.54	30
DCG010120-394	B07NL3KPG5	23.92	30
DCG010120-395	B07P2RZHQ3	37.99	30
DCG010120-4100	B07M8QN5DC	31.6	30
DCG010120-4101	B07MC92PSJ	39.87	30
DCG010120-4102	B07MG46PTD	77.67	30
DCG010120-4104	B07MLR2YX3	52.81	30
DCG010120-4107	B07MZR792V	34.08	30
DCG010120-4109	B07NXD9NZC	30.45	30
DCG010120-413	B010R38VC8	34.25	30
DCG010120-415	B01DP25JC8	26.6	30
DCG010120-419	B01H3W8WXE	52.61	30
DCG010120-423	B01MXZX45V	125.86	30
DCG010120-426	B01N5MFXXI	60.64	30
DCG010120-427	B06W5XQGG4	61.07	30
DCG010120-433	B071RLWKGQ	81.45	30
DCG010120-434	B072JZ328M	41.2	30
DCG010120-435	B072QXHSHX	42.11	30
DCG010120-436	B072W61NTB	83.27	25
DCG010120-442	B075V27HVT	34.24	30
DCG010120-446	B076G9M9JG	61.65	30
DCG010120-448	B077T5GR92	26.53	30
DCG010120-452	B079NCBCP4	43.19	30
DCG010120-454	B07BT23S7W	30.34	30
DCG010120-455	B07C75V9BD	53.74	30
DCG010120-459	B07DBXY55B	37.49	30
DCG010120-460	B07DCYHLSQ	30.4	30
DCG010120-463	B07FCHYJPD	39.11	30
DCG010120-464	B07FHY2BLL	38.66	30
DCG010120-47	B00KL3ALGO	38.35	30
DCG010120-470	B07GYD44D3	32.21	30
DCG010120-471	B07GZK6PL7	50.74	30
DCG010120-478	B07HJDRTMK	75.67	30
DCG010120-485	B07JHHB7KR	38.21	20
DCG010120-496	B07KW25FVT	41.81	30
DCG010120-498	B07L7KPVKX	36.05	30
DCG010120-499	B07M5ZLJJ6	69.18	30
DCG010120-5106	B07HPC2G5K	34.18	30
DCG010120-5112	B07K8F1KJ3	42.53	30
DCG010120-5113	B07K8GMV9Y	52.09	30
DCG010120-5114	B07KDZH7CW	38.02	12
DCG010120-5118	B07LCSTJ2M	33.34	13
DCG010120-5121	B07MD165MC	61.94	30
DCG010120-5122	B07MDSHBV3	37.88	30
DCG010120-5125	B07MZ2PXY8	30.07	30
DCG010120-5128	B07NH66WNY	30.78	30
DCG010120-5129	B07NQPZN7F	79.41	30
DCG010120-5130	B07PBG4V7P	37.09	30
DCG010120-5131	B07PGQJM44	48.11	30
DCG010120-519	B01455CYS6	115.63	30
DCG010120-52	B001AVPLR0	38.01	30
DCG010120-525	B01IEUHR2G	31.38	30
DCG010120-526	B01IJ574PQ	42.35	30
DCG010120-527	B01JGGE658	31.01	20
DCG010120-528	B01K7TRA4M	56.34	30
DCG010120-535	B01MQEKU75	50.81	30
DCG010120-54	B007WORVLS	26.28	30
DCG010120-55	B00AWLZDH2	32.88	30
DCG010120-554	B074F3PXJ2	120.05	30
DCG010120-558	B075F3MQQX	31.31	30
DCG010120-561	B075R7Q3YM	38.45	30
DCG010120-563	B076V7LKXK	55.67	30
DCG010120-564	B07768699F	80.89	30
DCG010120-565	B0778NNWJ3	34.65	30
DCG010120-57	B00ELUWGNO	43.11	30
DCG010120-571	B079H3BB2G	32.88	30
DCG010120-579	B07CMR9YPV	32.38	30
DCG010120-58	B00F6TZ8QG	40.52	30
DCG010120-580	B07CP6CFMJ	31.62	30
